run,window,round_first,round_last,measurements,updates,update_first,update_last,mean_loss,mean_loss_weighted,mean_abs_td,mean_abs_td_weighted,mean_grad_norm,mean_grad_norm_weighted
diagnostic_baseline\run_1,early,13,32,20,934,1,934,0.02167663780423074,0.021124152047609476,0.10718317419164744,0.10498051000739063,0.05305955138431058,0.0530449667824851
diagnostic_baseline\run_1,late,303,322,20,737,10543,11279,0.08873719647502919,0.08868211577551659,0.33850207934586957,0.33840118071602676,0.4246173594662599,0.4192958942322589
diagnostic_baseline\run_2,early,14,33,20,857,1,857,0.044767467676101014,0.044619139527321695,0.2073826177522744,0.20672404034065395,0.08042342931833865,0.08010539112236599
diagnostic_baseline\run_2,late,298,317,20,718,10552,11269,0.08814998515315299,0.08828948751548539,0.3430031758045193,0.3433598102923887,0.46357330702930194,0.4585492384715997
pilot_lr1e-04_target1000\run_0,early,13,32,20,983,1,983,0.020376573859958814,0.01954399259498775,0.10007041799972165,0.09689231019463326,0.053578675291757895,0.052980626209441
pilot_lr1e-04_target1000\run_0,late,296,315,20,747,10507,11253,0.08530133628067613,0.0854780703104803,0.3340956407703969,0.3340249880849118,0.44277435490712475,0.44243041629911745
pilot_lr1e-04_target250\run_0,early,13,32,20,977,1,977,0.023260177378574172,0.022138249069538554,0.1142364021735212,0.1102512695063039,0.08593536398701884,0.08239251468711921
pilot_lr1e-04_target250\run_0,late,301,320,20,669,10600,11268,0.1404197381746444,0.14019204196708085,0.3937759358724855,0.39354902817707604,1.3047094340460657,1.3050550240884091
pilot_lr3e-04_target1000\run_0,early,13,32,20,917,1,917,0.021251632929206357,0.02071018855383512,0.10425139255255993,0.10193469480183809,0.05218285868656395,0.05169281588142155
pilot_lr3e-04_target1000\run_0,late,300,319,20,748,10515,11262,0.0864348058119077,0.08678467480097225,0.3367482616550473,0.336724156005816,0.4145122306385448,0.42318563908338547
pilot_lr3e-04_target250\run_0,early,13,32,20,926,1,926,0.023428641995365953,0.022828381870532325,0.11709029823622372,0.1147199377103771,0.08788959631441046,0.08527011553139363
pilot_lr3e-04_target250\run_0,late,269,288,20,728,10547,11274,0.12349604138721489,0.1251826129782085,0.35598557565225275,0.357640676630231,1.2363110891946765,1.2313056631975776
