group,scenario,opponents,count,min_step,max_step,unique_states
0:bfs_agent:900,coin-heaven,0,99,1,118,6
0:bfs_agent:901,coin-heaven,0,94,1,107,5
0:bfs_agent:902,coin-heaven,0,100,1,116,5
0:bfs_agent:903,coin-heaven,0,100,1,110,6
0:bfs_agent:904,coin-heaven,0,117,1,130,6
0:bfs_agent:905,coin-heaven,0,96,1,112,6
0:bfs_agent:906,coin-heaven,0,98,1,109,5
0:bfs_agent:907,coin-heaven,0,105,1,115,5
0:bfs_agent:908,coin-heaven,0,97,1,115,5
0:bfs_agent:909,coin-heaven,0,94,1,111,6
0:rule_based_agent:900,coin-heaven,0,113,3,138,5
0:rule_based_agent:901,coin-heaven,0,79,1,108,5
0:rule_based_agent:902,coin-heaven,0,86,1,116,5
0:rule_based_agent:903,coin-heaven,0,99,1,120,6
0:rule_based_agent:904,coin-heaven,0,119,1,148,6
0:rule_based_agent:905,coin-heaven,0,95,1,121,6
0:rule_based_agent:906,coin-heaven,0,91,1,109,5
0:rule_based_agent:907,coin-heaven,0,102,1,126,5
0:rule_based_agent:908,coin-heaven,0,107,1,127,5
0:rule_based_agent:909,coin-heaven,0,109,1,129,6
