group,scenario,opponents,count,min_step,max_step,unique_states
0:bfs_agent:900,coin-heaven,0,25,3,112,5
0:bfs_agent:901,coin-heaven,0,25,6,107,4
0:bfs_agent:902,coin-heaven,0,25,5,115,4
0:bfs_agent:903,coin-heaven,0,22,16,106,3
0:bfs_agent:904,coin-heaven,0,33,5,129,5
0:bfs_agent:905,coin-heaven,0,17,1,108,3
0:bfs_agent:906,coin-heaven,0,24,4,102,4
0:bfs_agent:907,coin-heaven,0,29,2,114,3
0:bfs_agent:908,coin-heaven,0,23,3,114,4
0:bfs_agent:909,coin-heaven,0,27,3,108,3
0:rule_based_agent:900,coin-heaven,0,28,1,127,5
0:rule_based_agent:901,coin-heaven,0,13,4,107,4
0:rule_based_agent:902,coin-heaven,0,23,9,116,4
0:rule_based_agent:903,coin-heaven,0,21,9,120,4
0:rule_based_agent:904,coin-heaven,0,35,2,146,3
0:rule_based_agent:905,coin-heaven,0,30,4,118,4
0:rule_based_agent:906,coin-heaven,0,15,16,109,4
0:rule_based_agent:907,coin-heaven,0,32,2,122,4
0:rule_based_agent:908,coin-heaven,0,29,1,127,5
0:rule_based_agent:909,coin-heaven,0,24,5,129,4
1:bfs_agent:900,loot-crate,0,23,6,374,19
1:bfs_agent:901,loot-crate,0,25,9,376,22
1:bfs_agent:902,loot-crate,0,28,7,394,21
1:bfs_agent:903,loot-crate,0,22,5,399,21
1:bfs_agent:904,loot-crate,0,17,11,385,16
1:bfs_agent:905,loot-crate,0,23,24,395,18
1:bfs_agent:906,loot-crate,0,20,10,398,16
1:bfs_agent:907,loot-crate,0,26,23,389,21
1:bfs_agent:908,loot-crate,0,37,6,374,27
1:bfs_agent:909,loot-crate,0,29,3,351,23
1:rule_based_agent:900,loot-crate,0,28,3,397,25
1:rule_based_agent:901,loot-crate,0,27,16,392,20
1:rule_based_agent:902,loot-crate,0,23,32,357,21
1:rule_based_agent:903,loot-crate,0,22,12,397,19
1:rule_based_agent:904,loot-crate,0,26,4,391,18
1:rule_based_agent:905,loot-crate,0,22,13,370,19
1:rule_based_agent:906,loot-crate,0,27,2,398,22
1:rule_based_agent:907,loot-crate,0,23,16,391,20
1:rule_based_agent:908,loot-crate,0,25,10,398,21
1:rule_based_agent:909,loot-crate,0,27,1,382,22
2:bfs_agent:900,classic,3,6,6,49,6
2:bfs_agent:901,classic,3,2,51,70,2
2:bfs_agent:902,classic,3,23,3,368,22
2:bfs_agent:903,classic,3,27,2,400,25
2:bfs_agent:904,classic,3,37,6,384,28
2:bfs_agent:905,classic,3,35,10,400,28
2:bfs_agent:906,classic,3,32,6,398,24
2:bfs_agent:907,classic,3,28,13,395,27
2:bfs_agent:908,classic,3,38,33,395,34
2:bfs_agent:909,classic,3,22,3,381,17
2:rule_based_agent:900,classic,3,27,4,97,22
2:rule_based_agent:901,classic,3,11,12,59,11
2:rule_based_agent:902,classic,3,11,1,49,11
2:rule_based_agent:903,classic,3,32,9,215,26
2:rule_based_agent:904,classic,3,32,2,190,29
2:rule_based_agent:905,classic,3,11,2,88,10
2:rule_based_agent:906,classic,3,12,3,58,9
2:rule_based_agent:907,classic,3,35,2,200,32
2:rule_based_agent:908,classic,3,20,5,111,15
2:rule_based_agent:909,classic,3,59,4,398,40
3:bfs_agent:900,coin-heaven,3,32,6,397,25
3:bfs_agent:901,coin-heaven,3,20,8,389,19
3:bfs_agent:902,coin-heaven,3,34,10,399,21
3:bfs_agent:903,coin-heaven,3,21,13,399,16
3:bfs_agent:904,coin-heaven,3,27,14,397,23
3:bfs_agent:905,coin-heaven,3,26,12,398,16
3:bfs_agent:906,coin-heaven,3,21,6,378,17
3:bfs_agent:907,coin-heaven,3,23,9,337,18
3:bfs_agent:908,coin-heaven,3,18,30,383,15
3:bfs_agent:909,coin-heaven,3,28,1,390,18
3:rule_based_agent:900,coin-heaven,3,29,5,177,23
3:rule_based_agent:901,coin-heaven,3,16,5,102,11
3:rule_based_agent:902,coin-heaven,3,11,1,95,10
3:rule_based_agent:903,coin-heaven,3,21,1,121,15
3:rule_based_agent:904,coin-heaven,3,44,2,394,14
3:rule_based_agent:905,coin-heaven,3,8,4,83,8
3:rule_based_agent:906,coin-heaven,3,15,3,73,11
3:rule_based_agent:907,coin-heaven,3,65,12,396,16
3:rule_based_agent:908,coin-heaven,3,15,1,81,13
3:rule_based_agent:909,coin-heaven,3,26,10,155,20
