count,mask,coin_dir,crate_dir,bomb_yield,danger,opp_dir,attack
3,16,4,5,3,0,4,0
1,16,4,5,1,0,4,0
1,16,4,4,3,1,5,1
3,16,4,4,0,0,5,1
4,16,4,4,0,1,5,1
1,16,4,0,2,0,4,0
1,16,4,0,1,0,4,0
2,16,4,0,0,0,5,1
3,16,4,0,0,1,5,1
1,16,4,0,0,1,2,0
1,16,0,5,3,0,4,0
1,16,0,4,0,0,5,1
1,16,0,4,0,1,0,0
2,16,0,0,2,0,4,0
1,48,4,0,0,0,5,1
3,1,4,5,3,1,4,0
1,1,4,5,2,1,4,0
1,1,4,5,1,1,4,0
2,1,4,4,2,1,4,0
1,1,4,4,1,1,4,0
1,1,4,4,0,0,5,1
6,1,4,4,0,1,5,1
12,1,4,4,0,1,4,0
5,1,4,4,0,1,2,0
3,1,4,4,0,1,1,0
4,1,4,4,0,1,0,0
2,1,4,2,0,1,5,1
1,1,4,2,0,1,5,0
3,1,4,2,0,1,4,0
1,1,4,2,0,1,2,0
1,1,4,0,2,1,4,0
2,1,4,0,1,1,4,0
2,1,4,0,0,1,5,1
16,1,4,0,0,1,4,0
4,1,4,0,0,1,0,0
1,1,2,0,0,1,2,0
1,1,0,5,3,1,4,0
1,1,0,4,0,1,2,0
3,1,0,4,0,1,0,0
1,1,0,2,0,1,4,0
1,1,0,1,1,1,5,1
1,1,0,0,0,1,5,1
12,1,0,0,0,1,4,0
1,17,4,5,3,0,4,0
1,17,4,5,1,0,4,0
2,17,4,4,3,0,4,0
1,17,4,4,2,0,4,0
2,17,4,4,2,1,4,0
2,17,4,4,1,1,4,0
9,17,4,4,0,0,5,1
9,17,4,4,0,0,2,0
21,17,4,4,0,0,0,0
22,17,4,4,0,1,5,1
6,17,4,4,0,1,4,0
4,17,4,4,0,1,2,0
4,17,4,4,0,1,0,0
1,17,4,2,0,0,5,1
1,17,4,2,0,0,4,0
9,17,4,2,0,0,0,0
2,17,4,2,0,1,5,1
1,17,4,2,0,1,2,0
1,17,4,1,0,1,1,0
1,17,4,0,3,0,4,0
2,17,4,0,2,0,4,0
2,17,4,0,2,1,4,0
1,17,4,0,1,0,4,0
1,17,4,0,1,0,0,0
2,17,4,0,1,1,4,0
6,17,4,0,0,0,4,0
2,17,4,0,0,0,2,0
8,17,4,0,0,0,0,0
14,17,4,0,0,1,5,1
38,17,4,0,0,1,4,0
7,17,4,0,0,1,0,0
1,17,2,5,3,0,5,1
1,17,2,5,3,0,4,0
1,17,2,4,0,0,2,0
1,17,2,4,0,0,0,0
1,17,2,4,0,1,5,1
4,17,2,2,0,0,4,0
1,17,2,0,3,0,4,0
1,17,2,0,2,0,4,0
4,17,2,0,0,0,4,0
1,17,1,1,0,0,4,0
6,17,0,5,3,0,4,0
1,17,0,5,3,0,0,0
1,17,0,4,0,0,2,0
1,17,0,4,0,0,0,0
5,17,0,4,0,1,5,1
1,17,0,4,0,1,0,0
1,17,0,2,2,0,4,0
1,17,0,2,0,0,4,0
4,17,0,0,3,0,4,0
1,17,0,0,3,1,4,0
2,17,0,0,2,0,4,0
4,17,0,0,1,0,4,0
2,17,0,0,0,0,4,0
1,17,0,0,0,0,0,0
2,17,0,0,0,1,5,1
22,17,0,0,0,1,4,0
2,17,0,0,0,1,0,0
7,49,4,5,3,0,4,0
1,49,4,5,2,0,4,0
34,49,4,4,0,0,5,1
3,49,4,4,0,0,0,0
2,49,4,4,0,1,5,1
2,49,4,2,0,0,5,1
1,49,4,2,0,0,2,0
1,49,4,2,0,0,0,0
2,49,4,0,3,0,4,0
6,49,4,0,2,0,4,0
1,49,4,0,1,0,4,0
4,49,4,0,0,0,5,1
1,49,4,0,0,0,2,0
1,49,4,0,0,1,5,1
5,49,2,4,0,0,5,1
1,49,2,4,0,0,0,0
9,49,0,5,3,0,4,0
1,49,0,5,2,0,4,0
1,49,0,4,0,0,5,1
1,49,0,4,0,1,5,1
8,49,0,0,3,0,4,0
5,49,0,0,2,0,4,0
2,49,0,0,1,0,4,0
4,5,4,4,0,1,5,1
10,5,4,4,0,1,1,0
15,5,4,4,0,1,0,0
1,5,4,1,0,1,5,1
1,5,4,1,0,1,3,0
1,5,4,1,0,1,0,0
1,5,4,0,1,1,4,0
2,5,4,0,0,1,5,1
2,5,4,0,0,1,1,0
4,5,4,0,0,1,0,0
1,5,0,4,0,1,0,0
1,5,0,2,2,1,4,0
1,5,0,1,1,1,4,0
1,5,0,0,2,1,4,0
1,5,0,0,1,1,4,0
1,5,0,0,0,1,4,0
1,21,4,5,3,0,4,0
1,21,4,5,3,0,0,0
1,21,4,4,3,0,4,0
9,21,4,4,0,0,5,1
19,21,4,4,0,0,0,0
4,21,4,4,0,1,5,1
2,21,4,4,0,1,0,0
1,21,4,1,0,0,1,0
1,21,4,1,0,1,5,1
4,21,4,0,2,0,4,0
2,21,4,0,1,0,4,0
1,21,4,0,1,1,4,0
3,21,4,0,0,0,5,1
7,21,4,0,0,0,4,0
9,21,4,0,0,0,2,0
6,21,4,0,0,0,0,0
7,21,4,0,0,1,4,0
2,21,4,0,0,1,2,0
6,21,4,0,0,1,0,0
4,21,0,5,3,0,4,0
1,21,0,5,3,0,0,0
1,21,0,5,2,0,4,0
1,21,0,5,1,0,4,0
1,21,0,4,0,0,5,1
6,21,0,4,0,0,2,0
3,21,0,4,0,0,0,0
1,21,0,4,0,1,2,0
2,21,0,2,3,0,4,0
1,21,0,2,2,0,2,0
1,21,0,2,2,0,0,0
4,21,0,2,1,0,4,0
1,21,0,2,1,1,4,0
12,21,0,2,0,0,4,0
1,21,0,2,0,0,0,0
1,21,0,2,0,1,2,0
7,21,0,0,2,0,4,0
1,21,0,0,2,0,2,0
1,21,0,0,2,1,4,0
5,21,0,0,1,0,4,0
8,21,0,0,0,0,4,0
1,21,0,0,0,0,2,0
2,21,0,0,0,1,4,0
5,53,4,5,3,0,4,0
1,53,4,5,3,0,0,0
20,53,4,4,0,0,5,1
41,53,4,4,0,0,0,0
5,53,4,4,0,1,5,1
1,53,4,4,0,1,0,0
1,53,4,0,3,0,4,0
2,53,4,0,2,0,0,0
6,53,4,0,1,0,4,0
2,53,4,0,1,0,2,0
7,53,4,0,0,0,5,1
34,53,4,0,0,0,4,0
10,53,4,0,0,0,2,0
17,53,4,0,0,0,0,0
1,53,4,0,0,1,0,0
15,53,0,5,3,0,4,0
1,53,0,5,3,0,0,0
4,53,0,4,0,0,5,1
262,53,0,4,0,0,4,0
9,53,0,4,0,0,2,0
26,53,0,4,0,0,0,0
3,53,0,2,3,0,4,0
1,53,0,2,3,0,0,0
7,53,0,2,2,0,4,0
1,53,0,2,2,0,2,0
12,53,0,2,1,0,4,0
1,53,0,2,1,0,0,0
28,53,0,2,0,0,4,0
1,53,0,2,0,0,2,0
1,53,0,2,0,0,0,0
2,53,0,0,3,0,4,0
4,53,0,0,2,0,4,0
10,53,0,0,1,0,4,0
34,53,0,0,0,0,4,0
